app_name,user_id,Action,Adventure,Racing,Simulation,Sports,Strategy
,76561198086127331,0,0,0,0,0,0
Quake IV,76561198105011167,1,0,0,0,0,0
,76561198090950615,0,0,0,0,0,0
,76561198067254286,0,0,0,0,0,0
,76561198066514889,0,0,0,0,0,0
,76561198073361626,0,0,0,0,0,0
,76561198091358692,0,0,0,0,0,0
,76561198095672579,0,0,0,0,0,0
,76561198048590320,0,0,0,0,0,0
,76561197997752134,0,0,0,0,0,0
,76561198084906493,0,0,0,0,0,0
,76561198071168932,0,0,0,0,0,0
,76561198077931910,0,0,0,0,0,0
,76561198081234701,0,0,0,0,0,0
,76561198018257571,0,0,0,0,0,0
,pomatopowah,0,0,0,0,0,0
,Reaganomical,0,0,0,0,0,0
Hidden Expedition: The Fountain of Youth Collector's Edition,FeatInk,0,1,0,0,0,0
Christmas Stories: Hans Christian Andersen's Tin Soldier Collector's Edition,76561198087884347,0,1,0,0,0,0
,76561198036305038,0,0,0,0,0,0
,StuffyPuffy,0,0,0,0,0,0
,blazeyadeadhomie,0,0,0,0,0,0
Space Moth DX,76561198091925380,1,0,0,0,0,0
Cities XXL - Map Editor,76561198074117941,0,0,0,1,0,0
,76561198046579912,0,0,0,0,0,0
,76561198053797691,0,0,0,0,0,0
,76561197985634755,0,0,0,0,0,0
,76561198068954331,0,0,0,0,0,0
,kroozer55,0,0,0,0,0,0
,76561198082188507,0,0,0,0,0,0
Race The Sun Original Soundtrack,76561198025613632,1,0,1,0,0,0
,nano11ful,0,0,0,0,0,0
,jaguarpanda,0,0,0,0,0,0
,s0ggy,0,0,0,0,0,0
,76561198079186950,0,0,0,0,0,0
,76561198073325596,0,0,0,0,0,0
StarCrawlers,fakuyy,0,1,0,0,0,0
,76561198089771145,0,0,0,0,0,0
,76561198081846625,0,0,0,0,0,0
,76561198081172646,0,0,0,0,0,0
,76561198069350319,0,0,0,0,0,0
,Resigning_Bow_The_Penguin_God,0,0,0,0,0,0
Rocksmith® 2014 – Billy Talent - “Red Flag”,76561198017489100,0,0,0,1,0,0
Awesomenauts - Cheerleader Penny Skin,76561198069472972,1,0,0,0,0,1
Fantasy Grounds - Midgard Heroes (5E),manutroll,0,0,0,0,0,1
,76561198090336646,0,0,0,0,0,0
,mrwilliamwong,0,0,0,0,0,0
,76561197999244038,0,0,0,0,0,0
,76561198094409764,0,0,0,0,0,0
,minidooba,0,0,0,0,0,0
,18283848,0,0,0,0,0,0
,76561198100326818,0,0,0,0,0,0
,76561198021433258,0,0,0,0,0,0
,guromano,0,0,0,0,0,0
Moorhuhn: Tiger and Chicken,76561198056943070,1,0,0,0,0,0
,eminisc,0,0,0,0,0,0
,76561198061333981,0,0,0,0,0,0
Pilli Adventure,76561198092249761,1,1,0,0,0,0
,Pedruco2,0,0,0,0,0,0
,76561198073224032,0,0,0,0,0,0
,allanhammon,0,0,0,0,0,0
,76561198045185389,0,0,0,0,0,0
,76561198103105807,0,0,0,0,0,0
,croniczambie,0,0,0,0,0,0
,76561198056607813,0,0,0,0,0,0
Crusader Kings II: Hymns of Revelation,76561198051372660,0,0,0,1,0,1
"Buccaneers, Bounty & Boom!",76561198037165454,0,0,0,0,0,1
,76561198054908878,0,0,0,0,0,0
,76561198076739076,0,0,0,0,0,0
Jet Gunner,bastor87,1,1,0,0,0,0
,76561198070634590,0,0,0,0,0,0
,76561197988802604,0,0,0,0,0,0
,76561198100395356,0,0,0,0,0,0
Silent Service,76561198041743030,0,0,0,1,0,0
,76561198008686942,0,0,0,0,0,0
,76561198124887863,0,0,0,0,0,0
Baseball Mogul 2015 Demo,XIRUS_PWNS,0,0,0,1,1,1
,76561198115750015,0,0,0,0,0,0
,sibalnoma,0,0,0,0,0,0
,76561198056790377,0,0,0,0,0,0
Star Tactics,76561198091091279,0,0,0,1,0,1
,76561198096479122,0,0,0,0,0,0
,Rizmaa,0,0,0,0,0,0
Vickinachi,Trollfwesfwef,1,1,0,0,0,0
,76561198077524603,0,0,0,0,0,0
In Celebration of Violence,76561198096742963,1,1,0,0,0,0
War Thunder - Steam Pack,babpls,0,0,0,1,0,0
,Jimboco,0,0,0,0,0,0
Rogue Contracts: Syndicate,76561198069138620,1,0,0,0,0,0
ComiPo! Swim Wear,76561198027369898,0,0,0,0,0,0
,deathnz1,0,0,0,0,0,0
,76561198068378615,0,0,0,0,0,0
,76561198102346636,0,0,0,0,0,0
,76561198073804152,0,0,0,0,0,0
,76561198146953125,0,0,0,0,0,0
,76561198049441087,0,0,0,0,0,0
,KingOfArrows,0,0,0,0,0,0
,76561198166023401,0,0,0,0,0,0
The Ultimate Heist,76561198071655283,1,1,0,1,0,0
,bitleak,0,0,0,0,0,0
,76561198095920538,0,0,0,0,0,0
,legr00ves,0,0,0,0,0,0
,76561198055420186,0,0,0,0,0,0
Rocksmith - Heart - Barracuda,76561198083423726,0,0,0,1,0,0
,g0dkiller,0,0,0,0,0,0
Europa Universalis III Complete,artrockerlnw,0,0,0,0,0,1
,dood2super,0,0,0,0,0,0
,NormanD9819,0,0,0,0,0,0
The Official AppGameKit Tutorial Guide Vol 2,76561198088902095,0,0,0,0,0,0
,HeadHUNTERv,0,0,0,0,0,0
,76561198045582822,0,0,0,0,0,0
,76561198086442784,0,0,0,0,0,0
,76561198069918043,0,0,0,0,0,0
,76561198070983171,0,0,0,0,0,0
,76561198072375699,0,0,0,0,0,0
,snowpow,0,0,0,0,0,0
Knight Squad - Extra Chivalrous,76561198086758909,1,0,0,0,0,0
,76561198101674331,0,0,0,0,0,0
,76561198075734090,0,0,0,0,0,0
,76561198073094510,0,0,0,0,0,0
,76561198068084415,0,0,0,0,0,0
Imperium Galactica II,76561198108304155,0,0,0,0,0,1
,76561197993159281,0,0,0,0,0,0
Depth - Corsair APS Skin,76561198061642890,1,0,0,0,0,0
Ian Harvie: May The Best Cock Win,theleprasean,0,0,0,0,0,0
Scarab Tales,steventammm,0,0,0,0,0,1
,76561198069965060,0,0,0,0,0,0
,76561198068806780,0,0,0,0,0,0
,76561198013648417,0,0,0,0,0,0
